Subject,Gender,Age,NEOFAC_A,NEOFAC_O,NEOFAC_C,NEOFAC_N,NEOFAC_E
100307,F,26-30,37,24,35,15,37
100408,M,31-35,33,29,34,15,33
101107,M,22-25,28,35,37,12,28
101309,M,26-30,36,22,36,2,26
101915,F,31-35,35,30,45,8,31
103111,M,26-30,38,27,41,8,29
103414,F,22-25,27,30,31,20,34
103818,F,31-35,36,26,34,24,16
105014,F,26-30,40,23,40,12,33
105115,M,31-35,34,28,25,23,26
106016,F,31-35,35,24,34,12,27
108828,M,31-35,30,36,30,35,29
110411,M,31-35,32,26,36,8,38
111312,F,31-35,33,24,35,17,29
111716,F,31-35,15,44,42,14,34
113619,F,31-35,39,26,39,14,33
113922,M,31-35,30,23,30,12,27
114419,M,31-35,37,32,40,25,37
115320,F,31-35,35,22,30,16,31
116524,M,26-30,27,28,36,23,22
117122,F,26-30,25,27,40,16,11
118528,F,26-30,30,41,44,19,30
118730,M,22-25,26,17,34,14,25
118932,M,26-30,33,34,29,25,21
120111,F,26-30,37,26,38,12,38
122317,M,31-35,32,24,31,13,31
122620,M,26-30,29,26,38,12,23
123117,M,26-30,33,27,37,12,27
123925,F,26-30,38,35,32,17,43
124422,F,31-35,30,26,31,19,23
125525,F,31-35,38,15,37,21,38
126325,F,26-30,36,30,36,8,36
127630,F,22-25,32,29,33,17,27
127933,M,31-35,31,35,30,13,37
128127,F,26-30,29,25,41,18,34
128632,F,31-35,40,28,45,9,34
129028,M,26-30,40,30,39,8,28
130013,M,26-30,26,25,37,8,37
130316,F,26-30,28,28,28,28,19
131217,F,26-30,32,17,38,18,35
131722,F,26-30,42,37,28,39,25
133019,F,26-30,41,27,37,19,38
133928,M,26-30,40,26,31,17,29
135225,F,22-25,36,29,18,23,37
135932,F,26-30,39,26,37,19,26
136833,M,31-35,36,28,33,23,26
138534,M,22-25,36,23,37,11,40
139637,F,31-35,40,20,30,17,33
140925,F,22-25,23,27,34,23,30
144832,F,22-25,30,24,35,18,27
146432,M,31-35,37,33,40,13,32
147737,F,31-35,31,25,39,38,25
148335,F,31-35,31,35,29,20,33
148840,F,22-25,31,24,34,21,30
149337,M,31-35,45,22,36,9,30
149539,M,22-25,32,42,33,16,27
149741,M,26-30,33,26,38,9,29
151223,F,26-30,27,18,30,33,28
151526,M,26-30,25,32,34,29,30
151627,F,26-30,32,26,44,16,33
153025,F,22-25,30,27,35,14,36
154734,M,31-35,36,28,44,2,33
156637,M,31-35,30,31,32,30,17
159340,M,26-30,45,40,38,0,40
160123,M,31-35,30,30,37,23,29
161731,F,31-35,36,34,33,18,34
162733,F,26-30,37,29,33,19,31
163129,M,26-30,40,31,35,17,40
176542,F,26-30,22,19,28,17,20
178950,M,31-35,30,27,36,28,18
188347,F,26-30,32,23,39,14,32
189450,M,22-25,23,27,30,18,31
190031,F,26-30,39,40,25,19,35
192540,F,26-30,38,22,29,12,32
196750,F,26-30,31,28,33,20,20
198451,M,26-30,27,34,38,18,23
199655,M,31-35,24,29,33,15,28
201111,M,26-30,36,35,42,31,23
208226,F,22-25,38,29,38,11,38
211417,M,36+,36,20,39,7,36
211720,M,31-35,30,38,39,14,35
212318,F,31-35,32,26,33,13,33
214423,M,22-25,19,17,27,13,27
221319,F,26-30,30,23,35,21,31
239944,F,31-35,36,30,34,16,31
245333,F,31-35,42,24,36,16,31
280739,F,31-35,34,25,38,17,26
298051,F,31-35,35,28,42,13,36
366446,M,22-25,35,27,37,9,26
397760,M,31-35,34,23,44,14,26
414229,M,31-35,38,24,37,5,34
499566,F,26-30,36,42,28,20,32
654754,F,31-35,26,31,38,13,21
672756,M,31-35,33,24,29,17,22
751348,M,26-30,22,41,28,12,38
756055,M,22-25,37,29,36,12,36
792564,F,31-35,43,29,39,14,37
856766,F,31-35,37,28,39,20,38
857263,M,22-25,36,23,42,12,30
899885,F,26-30,33,20,40,17,16
